GET Request At /api/artist/login/{uid}/{password}
2024.04.08.09.39.03 GET Request At /api/song/getAll
2024.04.08.09.43.37 GET Request At /api/artist/login/{uid}/{password}
2024.04.08.09.43.38 GET Request At /api/artist/profile/1
2024.04.08.09.43.38 GET Request At /api/song/getSongByArtist/1
2024.04.08.09.43.49 GET Request At /api/playlist/getAllPlaylist
2024.04.08.09.44.00 POST Request At /api/playlist/addPlaylist
2024.04.08.09.44.13 GET Request At /api/playlist/getAllPlaylist
2024.04.08.09.44.29 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.09.44.29 GET Request At /api/playlist/getAllPlaylist
2024.04.08.09.44.57 GET Request At /api/song/getAll
2024.04.08.09.45.13 GET Request At /api/song/getAll
2024.04.08.09.45.16 GET Request At /api/song/getAll
2024.04.08.09.45.17 GET Request At /api/song/download/578b56d2-c042-47a1-b9a9-f3eec285f5ab_Tourner-Dans-Le-Vide.mp3
2024.04.08.09.45.20 GET Request At /api/song/getAll
2024.04.08.09.45.20 GET Request At /api/song/download/1ef4934a-89a2-4a41-b976-b349d47a643c_Tourner-Dans-Le-Vide.mp3
2024.04.08.09.45.39 GET Request At /api/song/getAll
2024.04.08.09.45.39 GET Request At /api/song/getAll
2024.04.08.09.45.39 POST Request At /api/playlist/1/addSong/7
2024.04.08.09.50.02 GET Request At /api/playlist/getSongs/1
2024.04.08.10.08.37 GET Request At /api/playlist/getSongs/1
2024.04.08.10.17.03 GET Request At /api/playlist/getSongs/1
2024.04.08.11.02.14 POST Request At /api/artist/register
2024.04.08.11.02.15 POST Request At /api/user/register
2024.04.08.11.02.34 POST Request At /api/user/register
2024.04.08.11.02.52 POST Request At /api/artist/register
2024.04.08.11.02.52 POST Request At /api/user/register
2024.04.08.11.03.07 GET Request At /api/user/login/{username}/{password}
2024.04.08.11.03.08 GET Request At /api/user/profile/3
2024.04.08.11.03.14 GET Request At /api/artist/login/{uid}/{password}
2024.04.08.11.03.15 GET Request At /api/artist/profile/2
2024.04.08.11.03.15 GET Request At /api/song/getSongByArtist/2
2024.04.08.11.03.21 GET Request At /api/artist/profile/2
2024.04.08.11.03.35 GET Request At /api/artist/profile/2
2024.04.08.11.03.40 GET Request At /api/artist/profile/2
2024.04.08.11.03.43 GET Request At /api/artist/profile/2
2024.04.08.11.03.44 GET Request At /api/artist/profile/2
2024.04.08.11.03.44 POST Request At /api/song/upload
2024.04.08.11.03.51 GET Request At /api/artist/profile/2
2024.04.08.11.03.51 GET Request At /api/artist/profile/2
2024.04.08.11.04.00 GET Request At /api/artist/profile/2
2024.04.08.11.04.03 GET Request At /api/artist/profile/2
2024.04.08.11.04.03 GET Request At /api/artist/profile/2
2024.04.08.11.04.03 POST Request At /api/song/upload
2024.04.08.11.04.13 GET Request At /api/user/login/{username}/{password}
2024.04.08.11.04.14 GET Request At /api/user/profile/1
2024.04.08.11.04.16 GET Request At /api/song/getAll
2024.04.08.11.04.23 POST Request At /api/playlist/addPlaylist
2024.04.08.11.04.28 GET Request At /api/playlist/getAllPlaylist
2024.04.08.11.04.30 GET Request At /api/song/getAll
2024.04.08.11.04.31 GET Request At /api/song/getAll
2024.04.08.11.04.32 GET Request At /api/song/download/1cc03028-9756-47ce-bce7-d57e0701e3ef_The_Lon_of_Chabu.mp3
2024.04.08.11.04.36 GET Request At /api/song/getAll
2024.04.08.11.04.38 GET Request At /api/song/getAll
2024.04.08.11.04.38 POST Request At /api/playlist/1/addSong/1
2024.04.08.11.04.46 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.11.04.46 GET Request At /api/playlist/getAllPlaylist
2024.04.08.13.19.28 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.19.28 GET Request At /api/playlist/getAllPlaylist
2024.04.08.13.26.05 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.26.05 GET Request At /api/playlist/getSongs/1
2024.04.08.13.26.22 GET Request At /api/song/getAll
2024.04.08.13.26.34 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.26.34 GET Request At /api/playlist/getSongs/1
2024.04.08.13.26.47 GET Request At /api/song/getAll
2024.04.08.13.26.49 GET Request At /api/song/getAll
2024.04.08.13.26.49 GET Request At /api/song/download/46976ff0-2690-46ec-ad36-e17e92cc6352_sample2.mp3
2024.04.08.13.26.53 GET Request At /api/song/getAll
2024.04.08.13.26.54 GET Request At /api/song/getAll
2024.04.08.13.26.54 POST Request At /api/playlist/1/addSong/2
2024.04.08.13.27.03 GET Request At /api/playlist/getAllPlaylist
2024.04.08.13.27.12 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.27.12 GET Request At /api/playlist/getSongs/1
2024.04.08.13.34.39 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.34.39 GET Request At /api/playlist/getSongs/1
2024.04.08.13.35.21 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.35.21 GET Request At /api/playlist/getSongs/1
2024.04.08.13.35.23 GET Request At /api/song/download/46976ff0-2690-46ec-ad36-e17e92cc6352_sample2.mp3
2024.04.08.13.35.28 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.35.28 GET Request At /api/playlist/getSongs/1
2024.04.08.13.35.30 GET Request At /api/song/download/46976ff0-2690-46ec-ad36-e17e92cc6352_sample2.mp3
2024.04.08.13.38.54 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.38.54 GET Request At /api/playlist/getSongs/1
2024.04.08.13.40.16 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.40.16 GET Request At /api/playlist/getSongs/1
2024.04.08.13.40.54 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.40.54 GET Request At /api/playlist/getSongs/1
2024.04.08.13.41.59 GET Request At /api/playlist/getPlaylistById/1
2024.04.08.13.41.59 GET Request At /api/playlist/getSongs/1
2024.04.08.13.42.11 GET Request At /api/song/getAll
2024.04.08.13.42.24 GET Request At /api/playlist/getAllPlaylist
